country,year,cab,gdp_percap_growth,inflation,unemployment
Afghanistan,1991,,,,8.07
Afghanistan,1992,,,,8.011
Afghanistan,1993,,,,7.888
Afghanistan,1994,,,,7.822
Afghanistan,1995,,,,7.817
Afghanistan,1996,,,,7.867
Afghanistan,1997,,,,7.863
Afghanistan,1998,,,,7.89
Afghanistan,1999,,,,7.903
Afghanistan,2000,,,,7.935
Afghanistan,2001,,-10.1194841059326,,7.953
Afghanistan,2002,,22.0201902696299,,7.93
Afghanistan,2003,,2.34567163632688,,7.88
Afghanistan,2004,,-2.14821228495553,,7.899
Afghanistan,2005,,7.38337728197978,12.6862687216715,7.885
Afghanistan,2006,,1.13248505528998,6.78459655001655,7.914
Afghanistan,2007,,11.6923032922081,8.68057078513406,7.817
Afghanistan,2008,-2.35799044700136,1.6772791560615,26.4186641547444,7.878
Afghanistan,2009,2.23601941932175,17.0438963216074,-6.81116108898996,7.754
Afghanistan,2010,-3.64331388234628,11.0550305527288,2.17853752389419,7.753
Afghanistan,2011,-12.6195382087159,-3.21329500579925,11.8041858089129,7.784
Afghanistan,2012,-25.8706814974751,8.27936899310519,6.44121280934117,7.856
Afghanistan,2013,-25.290058564309,2.0520682606117,7.38577178397855,7.93
Afghanistan,2014,-15.7724198274304,-0.939984755736006,4.67399603536345,7.915
Afghanistan,2015,-21.9126573355151,-1.66505744749013,-0.661709164713742,9.052
Afghanistan,2016,-14.9501951919169,-0.300121027406746,4.38389195513915,10.133
Afghanistan,2017,-18.9559612272258,-0.195569548342789,4.97595150553833,11.184
Afghanistan,2018,-21.5852741164653,-1.71374269254262,0.626149149168847,11.196
Afghanistan,2019,-20.1704643881064,0.856294729087764,2.30237251516834,11.185
Afghanistan,2020,-15.7183027911684,-5.38251464221077,5.60188791482224,11.71
Afghanistan,2021,,-22.5844818732987,5.13320340824963,11.994
Afghanistan,2022,,-7.57666891152213,13.7121023720065,14.1
Afghanistan,2023,,0.540655554216826,-4.64470870797775,13.991
Afghanistan,2024,,,-6.60118564073726,13.295
Albania,1980,1.01387609500286,,,
Albania,1981,2.48869419936368,3.64864854723071,,
Albania,1982,-3.58915333544579,0.795840071093252,,
Albania,1983,-2.03570446250028,-1.01680217228552,,
Albania,1984,-1.51291795411133,-3.30749720231945,,
Albania,1985,-1.91876849654322,-0.290595348322142,,
Albania,1986,-0.1525752133222,3.61465554406624,,
Albania,1987,0.249904333497333,-2.74949637948961,,
Albania,1988,-1.3211544989028,-3.26252233446822,,
Albania,1989,-1.74427120088412,6.9236172850875,,
Albania,1990,-5.83174096323551,-11.187905298961,,
Albania,1991,-15.2788523176905,-27.5668208369982,,10.304
Albania,1992,-7.77398715257512,-6.62255121235502,226.005421253526,30.007
Albania,1993,1.25704931694863,10.2299493531342,85.0047512387156,25.251
Albania,1994,-8.36279155272246,8.96976165855091,22.5650526933696,20.835
Albania,1995,-0.480615551651797,14.0244959298688,7.79321853789217,14.607
Albania,1996,-3.35350141437796,9.78017987930293,12.7254778087103,13.928
Albania,1997,-12.0536114950924,-10.3611049709411,33.1802743753956,16.872
Albania,1998,-2.55580935849998,9.51648443822282,20.6428588670596,20.042
Albania,1999,-4.83792386732012,13.6080691237129,0.389437653561628,20.835
Albania,2000,-4.49092085179739,7.63002243937019,0.0500181363468238,19.023
Albania,2001,-5.542947808941,9.31439713939355,3.10758827031434,18.57
Albania,2002,-9.37243799545941,4.85047533419143,7.77052583431552,17.891
Albania,2003,-7.24966532306394,5.9242115424577,0.484002611818478,16.985
Albania,2004,-4.98178261667359,5.9565695961824,2.28001916938101,16.306
Albania,2005,-7.09724132095197,6.06788243935723,2.36658195679795,15.966
Albania,2006,-7.5415759688391,6.57292298236362,2.37072831904282,15.626
Albania,2007,-10.7781023817953,6.78722893588666,2.93268248162323,15.966
Albania,2008,-15.6285296892255,8.3281084229243,3.32087090389265,13.06
Albania,2009,-15.3804877728582,4.05313986380152,2.26692209450831,13.674
Albania,2010,-11.3658658518304,4.22308382721044,3.6271009151748,14.086
Albania,2011,-12.9331014515688,2.82164245514005,3.42807130141503,13.481
Albania,2012,-10.2001762330966,1.58487281451019,2.03159268395296,13.376
Albania,2013,-9.27418778932724,1.18723435286199,1.93762080205223,15.866
Albania,2014,-10.7753990397848,1.98538809180384,1.62586504402604,18.055
Albania,2015,-8.60488046763521,2.51682705417127,3.50120835492657,17.193
Albania,2016,-7.59082599857198,3.48029321671386,-0.367317209784652,15.418
Albania,2017,-7.54422875202925,3.89811226746693,2.06059845920226,13.616
Albania,2018,-6.60766413996776,4.27631155105293,2.02805963071135,12.304
Albania,2019,-7.82064680790707,2.49828904058442,1.41109078954251,11.466
Albania,2020,-8.62504716701021,-2.75693978209092,1.62088661717004,11.69
Albania,2021,-7.59590759205624,9.9843075683015,2.04147163139545,11.474
Albania,2022,-5.87243640069213,6.10893999509641,6.7252027153006,10.137
Albania,2023,-1.19632174783293,5.13713201542561,4.75976421930106,10.108
Albania,2024,,,2.21448953273294,10.25
Algeria,1961,,-15.1207305043075,,
Algeria,1962,,-20.8548956878044,,
Algeria,1963,,32.28091690407,,
Algeria,1964,,4.12149478069479,,
Algeria,1965,,4.60801149224909,,
Algeria,1966,,-6.49936512383931,,
Algeria,1967,,7.02141366831901,,
Algeria,1968,,8.30237960344564,,
Algeria,1969,,5.99242992076996,,
Algeria,1970,,6.43200232891483,6.59999999900017,
Algeria,1971,,-13.3141204983548,2.62664165105635,
Algeria,1972,,24.525779768096,3.65630712983236,
Algeria,1973,,1.39498097018304,6.17283950622715,
Algeria,1974,,4.9210705603048,4.69961240341694,
Algeria,1975,,1.39325532630959,8.23031665265143,
Algeria,1976,,3.56112872678158,9.43073540174557,
Algeria,1977,-11.0870548965505,1.50485663144283,11.989283322105,
Algeria,1978,-13.4259208511014,6.15192488397878,17.5239234455033,
Algeria,1979,-4.90878514317359,4.32153384386436,11.3486005086091,
Algeria,1980,0.58830768594436,-2.29975786801904,9.51782449754963,
Algeria,1981,0.202716806207838,-0.287791268389398,14.6548426360634,
Algeria,1982,-0.405106016568603,2.91098891233696,6.54250963007673,
Algeria,1983,-0.174582798720131,1.88412406994871,5.9671639303272,
Algeria,1984,0.138639759242596,2.05622585528499,8.116397955171,
Algeria,1985,1.75145888019743,0.229398496603636,10.4822870444467,
Algeria,1986,-3.50116872810923,-2.85296270395477,12.3716091651299,
Algeria,1987,0.211615708938076,-3.65704095206092,7.44126091287247,
Algeria,1988,-3.45178831929018,-3.73441250470079,5.91154496373489,
Algeria,1989,-1.94306627097077,1.67998285930979,9.30436125843166,
Algeria,1990,2.2889527648555,-1.66808064996022,16.6525343885432,
Algeria,1991,5.17702797301749,-3.52712947521344,25.8863869348513,20.6
Algeria,1992,,-0.649140042541546,31.6696619117149,24.38
Algeria,1993,,-4.42745904821612,20.5403261235827,26.23
Algeria,1994,,-3.06850837504639,29.0476561173071,27.74
Algeria,1995,,1.67474517170693,29.7796264864999,31.84
Algeria,1996,,2.08184989323905,18.6790758601749,28.308
Algeria,1997,,-0.767068612417248,5.73352275357187,25.43
Algeria,1998,,3.43950503748466,4.95016163793114,26.853
Algeria,1999,,1.77694241852429,2.64551113392799,28.548
Algeria,2000,,2.35726434985169,0.339163189071768,29.77
Algeria,2001,,1.59517814425874,4.22598834854673,27.3
Algeria,2002,,4.00705031536965,1.41830192345051,25.9
Algeria,2003,,5.09333212600842,4.268953958395,23.72
Algeria,2004,,3.05086148257989,3.96180030257187,17.65
Algeria,2005,19.7857720899622,3.86890214272142,1.38244656662118,15.27
Algeria,2006,23.4985369430055,1.32618894948084,2.31149918514424,12.27
Algeria,2007,21.3033457890387,1.39346833534671,3.67899574741699,13.79
Algeria,2008,18.8233635111302,0.652527944641818,4.85859062814939,11.33
Algeria,2009,0.287169379874168,-0.720420575171744,5.73706036145628,10.16
Algeria,2010,6.8736192928034,2.77921908102958,3.91106195534028,9.96
Algeria,2011,8.09495300569721,1.00399237186306,4.5242115050527,9.96
Algeria,2012,5.32371106942359,0.379563284080547,8.89145091062317,10.97
Algeria,2013,0.517147116303438,0.548743629011298,3.25423910998847,9.82
Algeria,2014,-3.8772158836163,2.00005201118192,2.91692692067458,10.207
Algeria,2015,-14.4205446442816,1.099620617724,4.78444700693889,11.206
Algeria,2016,-14.4962877563746,1.78594064716746,6.39769480268757,10.202
Algeria,2017,-11.6217683736912,-0.541667023472826,5.59111590961664,12.0
Algeria,2018,-8.68941296193565,-0.546019580974331,4.26999020467084,12.137
Algeria,2019,-8.76373598794007,-0.939992961238175,1.95176821052892,12.259
Algeria,2020,-11.0309095376359,-6.61247509796932,2.41513094083414,14.057
Algeria,2021,-2.42326388144805,2.13263632780773,7.22606307415477,13.63
Algeria,2022,8.61249001435547,1.96825188007162,9.26551551551553,12.346
Algeria,2023,2.5680705576358,2.55120301937745,9.32217375928322,11.701
Algeria,2024,,,4.04611455313434,11.427
American Samoa,2003,,1.12678985497159,,
American Samoa,2004,,0.68022053736145,,
American Samoa,2005,,-0.0545952701160815,,
American Samoa,2006,,-3.68497685539259,,
American Samoa,2007,,2.32559828018989,,
American Samoa,2008,,-2.16041177422564,,
American Samoa,2009,,-3.6489098592902,,
American Samoa,2010,,0.84468159199173,,
American Samoa,2011,,0.606612624100549,,
American Samoa,2012,,-3.62202258510453,,
American Samoa,2013,,-1.62801355404956,,
American Samoa,2014,,2.79061243809868,,
American Samoa,2015,,4.29662336687659,,
American Samoa,2016,,-0.488137584297121,,
American Samoa,2017,,-5.79936404816848,,
American Samoa,2018,,4.03850712136055,,
American Samoa,2019,,0.897584681397618,,
American Samoa,2020,,5.3517874262504,,
American Samoa,2021,,0.297884820349225,,
American Samoa,2022,,3.59327606262792,,
Andorra,1971,,-2.50058905847796,,
Andorra,1972,,1.01262363185526,,
Andorra,1973,,0.905266180764357,,
Andorra,1974,,-0.876786144946138,,
Andorra,1975,,-5.40568774889164,,
Andorra,1976,,-2.53240665067025,,
Andorra,1977,,-2.65439397848357,,
Andorra,1978,,-3.61402424680732,,
Andorra,1979,,-4.53971970772865,,
Andorra,1980,,-2.00736097927725,,
Andorra,1981,,-3.85913536256933,,
Andorra,1982,,-2.91946873272366,,
Andorra,1983,,-2.74825922222037,,
Andorra,1984,,-2.32782592052799,,
Andorra,1985,,-1.30213488514967,,
Andorra,1986,,-1.05661369805985,,
Andorra,1987,,1.29670922958218,,
Andorra,1988,,1.34490703710843,,
Andorra,1989,,2.33371642842843,,
Andorra,1990,,-0.119515604880633,,
Andorra,1991,,-4.81916904530696,,
Andorra,1992,,-4.99409016591666,,
Andorra,1993,,-5.83663168981438,,
Andorra,1994,,0.259838841219207,,
Andorra,1995,,3.8829592914651,,
Andorra,1996,,4.53197827144704,,
Andorra,1997,,7.86067895733267,,
Andorra,1998,,2.11836793796665,,
Andorra,1999,,3.57945484802578,,
Andorra,2000,,3.56776571144128,,
Andorra,2001,,7.84516813384302,,
Andorra,2002,,3.51828473360374,,
Andorra,2003,,4.03270748560267,,
Andorra,2004,,1.09540001410325,,
Andorra,2005,,1.18302768739022,,
Andorra,2006,,1.95883002800001,,
Andorra,2007,,-1.2896115123411,,
Andorra,2008,,-7.38929878788132,,
Andorra,2009,,-5.74648545856505,,
Andorra,2010,,1.88988084312282,,
Andorra,2011,,3.7495175357235,,
Andorra,2012,,-3.80075429834201,,
Andorra,2013,,-1.44394540350855,,
Andorra,2014,,4.52989381717444,,
Andorra,2015,,3.63079793724701,,
Andorra,2016,,3.69962046811506,,
Andorra,2017,,-1.80605703312767,,
Andorra,2018,,-0.30211930399588,,
Andorra,2019,18.0104704758856,0.265352820614368,,
Andorra,2020,15.5264308539605,-12.2238384935431,,
Andorra,2021,15.0218009387808,6.92704485233561,,
Andorra,2022,11.643445126406,7.72123800096536,,
Andorra,2023,14.2213228058781,1.1232590791063,,
Angola,1981,,-7.81953767077424,,
Angola,1982,,-3.61121699593035,,
Angola,1983,,0.398925562456398,,
Angola,1984,,2.14350685089642,,
Angola,1985,2.58139146821177,-0.238221364131419,,
Angola,1986,-4.2841774908353,-0.756799921119068,,
Angola,1987,5.52915879466056,0.529253267498703,,
Angola,1988,-5.34787604789493,2.57767901918209,,
Angola,1989,-1.29389172637474,-3.31670877387496,,
Angola,1990,-2.09715190221188,-6.67052697297514,,
Angola,1991,-5.465973,-2.34465271095358,83.7837837837838,16.855
Angola,1992,-8.84439959377916,-8.87134519094992,299.509803921569,16.978
Angola,1993,-11.5883584424603,-26.3741958805223,1378.52760736196,17.399
Angola,1994,-7.65604828196431,-1.89306801134029,949.792531120332,17.4
Angola,1995,-5.32696076591876,11.2224490340233,2666.45059288538,16.987
Angola,1996,43.3986736530575,9.76893815229339,4145.10598220638,16.275
Angola,1997,-11.5519926947846,3.69291015107152,219.176721172974,16.172
Angola,1998,-28.6975731367781,1.2453317264635,107.284821528298,16.371
Angola,1999,-27.7983311948052,-1.13079877894916,248.195902412868,16.593
Angola,2000,8.71506351159262,-0.302928309232016,324.996871601321,16.682
